state,x,y
LADAKH,-141,348
J & K,-200,314
HIMACHAL PRADESH,-128,267
PUNJAB,-183,231
UTTARAKHAND,-87,215
HARYANA,-163,193
UTTAR PRADESH,-43,119
RAJASTHAN,-236,125
BIHAR,79,96
SIKKIM,146,151
ARUNACHAL PRADESH,300,171
ASSAM,261,117
NAGALAND,303,116
MANIPUR,287,70
MIZORAM,262,36
TRIPURA,230,43
WEST BENGAL,136,25
JHARKHAND,61,39
CHHATTISGARH,-18,-14
MADHYA PRADESH,-114,22
GUJARAT,-282,25
MAHARASHTRA,-198,-88
GOA,-220,-185
TELANGANA,-85,-117
ODISHA,52,-35
KARNATAKA,-175,-209
ANDHRA PRADESH,-87,-186
TAMIL NADU,-107,-303
KERALA,-162,308
LAKSHDWEEP,-289,-280
ANDAMAN & NICOBAR,275,-257
